,Ticker,E50.PA,E50.PA.1,E50.PA.2,E50.PA.3,E50.PA.4,E50.PA.5,ANX.PA,ANX.PA.1,ANX.PA.2,ANX.PA.3,ANX.PA.4,ES5.PA,ES5.PA.1,ES5.PA.2,ES5.PA.3,ES5.PA.4,ES5.PA.5
287,2021-02-11,Open,High,Low,Close,Adj Close,Volume,125.72000122070312,126.31999969482422,125.72000122070312,126.31999969482422,1611,Open,High,Low,Close,Adj Close,Volume
288,2021-02-12,Open,High,Low,Close,Adj Close,Volume,126.08000183105469,126.5,125.91999816894531,126.5,9746,Open,High,Low,Close,Adj Close,Volume
289,2021-02-15,Open,High,Low,Close,Adj Close,Volume,127.12000274658203,127.45999908447266,127.05999755859375,127.4000015258789,4661,Open,High,Low,Close,Adj Close,Volume
290,2021-02-16,Open,High,Low,Close,Adj Close,Volume,127.45999908447266,127.69999694824219,126.9000015258789,127.0,4018,Open,High,Low,Close,Adj Close,Volume
291,2021-02-17,Open,High,Low,Close,Adj Close,Volume,127.0,127.27999877929688,125.72000122070312,125.72000122070312,4447,Open,High,Low,Close,Adj Close,Volume
292,2021-02-18,Open,High,Low,Close,Adj Close,Volume,126.13999938964844,126.13999938964844,124.63999938964844,125.13999938964844,9145,Open,High,Low,Close,Adj Close,Volume
293,2021-02-19,Open,High,Low,Close,Adj Close,Volume,125.54000091552734,125.9800033569336,125.41999816894531,125.81999969482422,1808,Open,High,Low,Close,Adj Close,Volume
294,2021-02-22,Open,High,Low,Close,Adj Close,Volume,123.54000091552734,123.63999938964844,122.0,122.30000305175781,6485,Open,High,Low,Close,Adj Close,Volume
295,2021-02-23,Open,High,Low,Close,Adj Close,Volume,121.91999816894531,121.91999816894531,117.30000305175781,119.76000213623047,35430,Open,High,Low,Close,Adj Close,Volume
296,2021-02-24,Open,High,Low,Close,Adj Close,Volume,120.54000091552734,122.04000091552734,119.80000305175781,121.08000183105469,4847,Open,High,Low,Close,Adj Close,Volume
297,2021-02-25,Open,High,Low,Close,Adj Close,Volume,121.63999938964844,121.63999938964844,119.37999725341797,119.41999816894531,2071,Open,High,Low,Close,Adj Close,Volume
298,2021-02-26,Open,High,Low,Close,Adj Close,Volume,117.22000122070312,119.86000061035156,117.22000122070312,119.86000061035156,7217,Open,High,Low,Close,Adj Close,Volume
299,2021-03-01,Open,High,Low,Close,Adj Close,Volume,121.0999984741211,122.04000091552734,120.95999908447266,122.04000091552734,7564,Open,High,Low,Close,Adj Close,Volume
300,2021-03-02,Open,High,Low,Close,Adj Close,Volume,122.5999984741211,123.0999984741211,121.22000122070312,121.22000122070312,4554,Open,High,Low,Close,Adj Close,Volume
301,2021-03-03,Open,High,Low,Close,Adj Close,Volume,121.55999755859375,121.69999694824219,118.69999694824219,119.54000091552734,104368,Open,High,Low,Close,Adj Close,Volume
302,2021-03-04,Open,High,Low,Close,Adj Close,Volume,117.41999816894531,118.08000183105469,116.22000122070312,117.55999755859375,10161,Open,High,Low,Close,Adj Close,Volume
303,2021-03-05,Open,High,Low,Close,Adj Close,Volume,115.76000213623047,117.80000305175781,114.44000244140625,114.76000213623047,85128,Open,High,Low,Close,Adj Close,Volume
304,2021-03-08,Open,High,Low,Close,Adj Close,Volume,116.66000366210938,119.33999633789062,116.26000213623047,118.54000091552734,5270,Open,High,Low,Close,Adj Close,Volume
305,2021-03-09,Open,High,Low,Close,Adj Close,Volume,117.18000030517578,119.58000183105469,117.18000030517578,119.58000183105469,4463,Open,High,Low,Close,Adj Close,Volume
306,2021-03-10,Open,High,Low,Close,Adj Close,Volume,119.81999969482422,121.4800033569336,119.5999984741211,120.0999984741211,51677,Open,High,Low,Close,Adj Close,Volume
307,2021-03-11,Open,High,Low,Close,Adj Close,Volume,120.69999694824219,121.68000030517578,120.63999938964844,121.68000030517578,166628,Open,High,Low,Close,Adj Close,Volume
308,2021-03-12,Open,High,Low,Close,Adj Close,Volume,120.05999755859375,120.4000015258789,119.69999694824219,119.80000305175781,2981,Open,High,Low,Close,Adj Close,Volume
309,2021-03-15,Open,High,Low,Close,Adj Close,Volume,120.55999755859375,121.37999725341797,120.55999755859375,121.13999938964844,1456,Open,High,Low,Close,Adj Close,Volume
310,2021-03-16,Open,High,Low,Close,Adj Close,Volume,122.80000305175781,124.44000244140625,122.55999755859375,123.76000213623047,4658,Open,High,Low,Close,Adj Close,Volume
311,2021-03-17,Open,High,Low,Close,Adj Close,Volume,123.16000366210938,123.16000366210938,121.26000213623047,121.81999969482422,2832,Open,High,Low,Close,Adj Close,Volume
312,2021-03-18,Open,High,Low,Close,Adj Close,Volume,122.04000091552734,122.08000183105469,121.0,121.4000015258789,5244,Open,High,Low,Close,Adj Close,Volume
313,2021-03-19,Open,High,Low,Close,Adj Close,Volume,120.31999969482422,120.76000213623047,119.5199966430664,120.66000366210938,2434,Open,High,Low,Close,Adj Close,Volume
314,2021-03-22,Open,High,Low,Close,Adj Close,Volume,121.0199966430664,122.80000305175781,121.0,122.80000305175781,2360,Open,High,Low,Close,Adj Close,Volume
315,2021-03-23,Open,High,Low,Close,Adj Close,Volume,122.41999816894531,123.69999694824219,122.31999969482422,123.0999984741211,1357,Open,High,Low,Close,Adj Close,Volume
316,2021-03-24,Open,High,Low,Close,Adj Close,Volume,123.26000213623047,123.80000305175781,122.19999694824219,122.26000213623047,1152,Open,High,Low,Close,Adj Close,Volume
317,2021-03-25,Open,High,Low,Close,Adj Close,Volume,121.05999755859375,121.37999725341797,119.91999816894531,120.87999725341797,3461,Open,High,Low,Close,Adj Close,Volume
318,2021-03-26,Open,High,Low,Close,Adj Close,Volume,121.4800033569336,121.5,120.4000015258789,121.5,275,Open,High,Low,Close,Adj Close,Volume
319,2021-03-29,Open,High,Low,Close,Adj Close,Volume,122.13999938964844,123.0,121.69999694824219,122.12000274658203,4819,Open,High,Low,Close,Adj Close,Volume
320,2021-03-30,Open,High,Low,Close,Adj Close,Volume,122.62000274658203,122.76000213623047,122.18000030517578,122.76000213623047,798,Open,High,Low,Close,Adj Close,Volume
321,2021-03-31,Open,High,Low,Close,Adj Close,Volume,122.62000274658203,124.63999938964844,122.5199966430664,124.63999938964844,2314,Open,High,Low,Close,Adj Close,Volume
322,2021-04-01,Open,High,Low,Close,Adj Close,Volume,125.27999877929688,126.62000274658203,125.27999877929688,126.0,36936,Open,High,Low,Close,Adj Close,Volume
323,2021-04-06,Open,High,Low,Close,Adj Close,Volume,128.16000366210938,128.5,127.83999633789062,128.36000061035156,4297,Open,High,Low,Close,Adj Close,Volume
324,2021-04-07,Open,High,Low,Close,Adj Close,Volume,127.77999877929688,127.87999725341797,126.95999908447266,127.55999755859375,1909,Open,High,Low,Close,Adj Close,Volume
325,2021-04-08,Open,High,Low,Close,Adj Close,Volume,128.83999633789062,129.10000610351562,128.5399932861328,128.63999938964844,342161,Open,High,Low,Close,Adj Close,Volume
326,2021-04-09,Open,High,Low,Close,Adj Close,Volume,128.8000030517578,129.05999755859375,128.39999389648438,129.05999755859375,1258,Open,High,Low,Close,Adj Close,Volume
327,2021-04-12,Open,High,Low,Close,Adj Close,Volume,129.6199951171875,129.8000030517578,128.9600067138672,129.1199951171875,1759,Open,High,Low,Close,Adj Close,Volume
328,2021-04-13,Open,High,Low,Close,Adj Close,Volume,129.5,130.25999450683594,129.4199981689453,130.1999969482422,1201,Open,High,Low,Close,Adj Close,Volume
329,2021-04-14,Open,High,Low,Close,Adj Close,Volume,130.36000061035156,130.9199981689453,129.3800048828125,129.3800048828125,1059,Open,High,Low,Close,Adj Close,Volume
330,2021-04-15,Open,High,Low,Close,Adj Close,Volume,129.1199951171875,130.39999389648438,129.1199951171875,130.3800048828125,798,Open,High,Low,Close,Adj Close,Volume
331,2021-04-16,Open,High,Low,Close,Adj Close,Volume,130.3800048828125,130.67999267578125,130.13999938964844,130.4600067138672,2803,Open,High,Low,Close,Adj Close,Volume
332,2021-04-19,Open,High,Low,Close,Adj Close,Volume,130.75999450683594,130.83999633789062,128.89999389648438,128.89999389648438,8170,Open,High,Low,Close,Adj Close,Volume
333,2021-04-20,Open,High,Low,Close,Adj Close,Volume,128.52000427246094,128.94000244140625,127.41999816894531,127.41999816894531,237985,Open,High,Low,Close,Adj Close,Volume
334,2021-04-21,Open,High,Low,Close,Adj Close,Volume,127.81999969482422,128.63999938964844,127.5,128.63999938964844,2469,Open,High,Low,Close,Adj Close,Volume
335,2021-04-22,Open,High,Low,Close,Adj Close,Volume,128.94000244140625,129.44000244140625,128.66000366210938,129.44000244140625,962,Open,High,Low,Close,Adj Close,Volume
336,2021-04-23,Open,High,Low,Close,Adj Close,Volume,127.58000183105469,128.82000732421875,127.4000015258789,128.82000732421875,1957,Open,High,Low,Close,Adj Close,Volume
337,2021-04-26,Open,High,Low,Close,Adj Close,Volume,128.4600067138672,129.24000549316406,128.0,129.24000549316406,1570,Open,High,Low,Close,Adj Close,Volume
338,2021-04-27,Open,High,Low,Close,Adj Close,Volume,129.82000732421875,129.94000244140625,128.8800048828125,129.02000427246094,511,Open,High,Low,Close,Adj Close,Volume
339,2021-04-28,Open,High,Low,Close,Adj Close,Volume,129.22000122070312,129.22000122070312,128.4199981689453,128.4199981689453,10269,Open,High,Low,Close,Adj Close,Volume
340,2021-04-29,Open,High,Low,Close,Adj Close,Volume,129.02000427246094,129.3800048828125,128.1199951171875,128.1199951171875,2835,Open,High,Low,Close,Adj Close,Volume
341,2021-04-30,Open,High,Low,Close,Adj Close,Volume,128.3000030517578,128.8800048828125,127.86000061035156,128.83999633789062,1587,Open,High,Low,Close,Adj Close,Volume
342,2021-05-03,Open,High,Low,Close,Adj Close,Volume,128.82000732421875,128.97999572753906,127.73999786376953,127.81999969482422,2290,Open,High,Low,Close,Adj Close,Volume
343,2021-05-04,Open,High,Low,Close,Adj Close,Volume,127.83999633789062,127.9000015258789,124.76000213623047,124.83999633789062,3943,Open,High,Low,Close,Adj Close,Volume
344,2021-05-05,Open,High,Low,Close,Adj Close,Volume,126.04000091552734,127.05999755859375,126.04000091552734,126.72000122070312,21357,Open,High,Low,Close,Adj Close,Volume
345,2021-05-06,Open,High,Low,Close,Adj Close,Volume,125.72000122070312,125.94000244140625,124.30000305175781,125.23999786376953,498,Open,High,Low,Close,Adj Close,Volume
346,2021-05-07,Open,High,Low,Close,Adj Close,Volume,126.08000183105469,127.0,125.86000061035156,126.66000366210938,854,Open,High,Low,Close,Adj Close,Volume
347,2021-05-10,Open,High,Low,Close,Adj Close,Volume,125.55999755859375,125.72000122070312,123.62000274658203,123.76000213623047,11690,Open,High,Low,Close,Adj Close,Volume
